state,population
Rondônia,"1,616,379"
Acre,"829,780"
Amazonas,"3,952,262"
Roraima,"634,805"
Pará,"8,442,962"
Amapá,"774,268"
Tocantins,"1,584,306"
Maranhão,"6,800,605"
Piauí,"3,270,174"
Ceará,"8,936,431"
Rio Grande do Norte,"3,303,953"
Paraíba,"4,030,961"
Pernambuco,"9,051,113"
Alagoas,"3,125,254"
Sergipe,"2,211,868"
Bahia,"14,659,023"
Minas Gerais,"20,732,660"
Espírito Santo,"3,975,100"
Rio de Janeiro,"16,615,526"
São Paulo,"46,024,937"
Paraná,"11,835,379"
Santa Catarina,"7,762,154"
Rio Grande do Sul,"11,088,065"
Mato Grosso do Sul,"2,833,742"
Mato Grosso,"3,784,239"
Goiás,"6,950,976"
Distrito Federal,"2,923,369"
